Date,Time,source,author,title,description,sentiment,Sentiment_Label,Sentiment_Score,url,content
2025-11-03,05:01:00,Digiday,Mitchell Parton,"Target layoffs hit almost all corners of the business, from merchants to engineers",The move is expected to have a noticeable impact on the workloads and sentiment of those who remain with the company.,negative,Negative,-1,http://digiday.com/marketing/target-layoffs-hit-almost-all-corners-of-the-business-from-merchants-to-engineers/,"Targets widespread corporate layoffs this week trimmed down teams throughout the company, leaving some who remain picking up responsibilities from those affected.The layoffs included employees spanni… [+9131 chars]"
2025-11-03,03:13:57,Biztoc.com,bloomberg.com,Options-Market Uncertainty Is Not Slowing India Hiring by High-Frequency Trading Firms,,neutral,Neutral,0,https://biztoc.com/x/10e5a71b52bc4cd7,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Nvidia's stock hit a $5 trillion valuation? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Trumps tarif… [+785 chars]"
2025-11-03,03:13:00,The Times of India,etimes.in,These 10 cities have the world’s most expensive taxi fares,"A new global taxi fare report by Compare the Market reveals Zurich, Switzerland as the world's most expensive city for taxi rides, with a 5km trip costing over INR 2,400. High fares in cities like Paris, Luxembourg, and Geneva are attributed to strong wages, …",negative,Negative,-1,https://timesofindia.indiatimes.com/life-style/travel/destinations/these-10-cities-have-the-worlds-most-expensive-taxi-fares/articleshow/125045574.cms,"A new global taxi fare report by Compare the Market reveals Zurich, Switzerland as the world's most expensive city for taxi rides, with a 5km trip costing over INR 2,400. High fares in cities like Pa… [+2171 chars]"
2025-11-03,02:58:55,The Times of India,Global Sports Desk,Shaquille O’Neal shares how martial arts and respect helped him grow lasting ties in China,Shaquille O'Neal's deep connection with China stems from childhood lessons learned from martial arts films. These values of discipline and perseverance shaped his approach. He built trust and respect with Chinese fans and players like Yao Ming through sinceri…,positive,Positive,1,https://timesofindia.indiatimes.com/sports/nba/top-stories/shaquille-oneal-shares-how-martial-arts-and-respect-helped-him-grow-lasting-ties-in-china/articleshow/125045568.cms,Shaquille O'Neal's deep connection with China stems from childhood lessons learned from martial arts films. These values of discipline and perseverance shaped his approach. He built trust and respect… [+2142 chars]
2025-11-03,01:17:11,Mypeoplesreview.com,Editor Peoples,SC issues interim order halting ambassador recall,"Kathmandu, Nov 3: The Supreme Court has issued an interim order stopping the government from implementing its decision to recall […]
The post SC issues interim order halting ambassador recall appeared first on Peoples' Review.",neutral,Neutral,0,https://mypeoplesreview.com/2025/11/03/sc-issues-interim-order-halting-ambassador-recall-2/,"Kathmandu, Nov 3: The Supreme Court has issued an interim order stopping the government from implementing its decision to recall ambassadors from 11 countries. The order came from a bench of Justices… [+6787 chars]"
2025-11-02,13:57:23,Freerepublic.com,News 18 India,"'American Dream Stolen': Trump Administration Releases Video On H-1B Misuse, Mentions India","The US Department of Labour released a new video highlighting the misuse of H-1B visas and how the American dream was “stolen"" from American citizens at the hands of foreign workers. The video included a mention of India, which accounts for over 70% of H-1B v…",negative,Negative,-1,https://freerepublic.com/focus/f-chat/4350216/posts,"Skip to comments.
'American Dream Stolen': Trump Administration Releases Video On H-1B Misuse, Mentions IndiaNews 18 India ^
 | 10/31/2025
 | Aveek Banerjee
Posted on 11/02/2025 5:57:23 AM PST by… [+1899 chars]"
2025-11-02,12:32:08,The Times of India,ETtech,"Nadella says Microsoft will hire again, but with an AI-first approach","This comes months after Microsoft announced laying off nearly 4% of its workforce, looking to rein in costs amid hefty investments in AI infrastructure. The company, which had about 2,28,000 employees worldwide as of June 2025, had announced layoffs in May, a…",neutral,Neutral,0,https://economictimes.indiatimes.com/tech/artificial-intelligence/nadella-says-microsoft-will-hire-again-but-with-an-ai-first-approach/articleshow/125032794.cms,"Microsoft CEO Satya Nadella said the company will increase its headcount, months after a barrage of tech layoffs globally, but the new hires will have to prove their artificial intelligence (AI) mett… [+1909 chars]"
2025-11-02,12:29:04,Ai2.work,Vibhuis@gmail.com,"Digital Transformation, AI at Helm of - AI 2 Work - AI Insights & Trends","Expert analysis by Morgan Tate, AI Business Strategist at AI2Work. Digital Transformation, AI at Helm of...",neutral,Neutral,0,https://ai2.work/business/digital-transformation-ai-at-helm-of/,"Expert Analysis by Morgan TateAI Business Strategist at AI2Work
Executive Summary
The 2025 APEC summit in Kuala Lumpur marked a pivotal moment for Malaysia and the wider ASEAN region. By positionin… [+9936 chars]"
2025-11-02,09:28:13,The Times of India,ET Online,‘Get ready for a jobless future’: Saurabh Mukherjea shares a warning for the Indian middle class,"Saurabh Mukherjea on middle class: Traditional corporate jobs are shrinking in India. Saurabh Mukherjea, an investment expert, believes this is a permanent change. Millions of young graduates will enter the workforce annually. Automation is also reshaping com…",neutral,Neutral,0,https://economictimes.indiatimes.com/news/new-updates/get-ready-for-a-jobless-future-saurabh-mukherjea-shares-a-warning-for-the-indian-middle-class/articleshow/125031414.cms,"Indias white-collar job growth has stalled, and one of Dalal Streets well-known voices says this slowdown is not temporary but a fundamental shift. Saurabh Mukherjea, founder and chief investment off… [+3354 chars]"
2025-11-02,07:27:27,The Times of India,P Naveen,Madhya Pradesh: Mother kills infant son in Bhind; attacks husband over suspected infidelity,"A 20-year-old woman allegedly strangled her 28-day-old son to death in Madhya Pradesh's Bhind district after a domestic dispute. She also attacked her husband when he attempted to intervene. Police have arrested the woman and are investigating the incident, w…",negative,Negative,-1,https://timesofindia.indiatimes.com/city/bhopal/madhya-pradesh-mother-kills-infant-son-in-bhind-attacks-husband-over-suspected-infidelity/articleshow/125030516.cms,"<ul><li>News</li>
<li>Madhya Pradesh: Mother kills infant son in Bhind; attacks husband over suspected infidelity</li></ul>
A 20-year-old woman allegedly strangled her 28-day-old son to death in Ma… [+2082 chars]"
