headline,clean_text,sentiment
"AI giants Anthropic, OpenAI, and Perplexity are rushing into India. It could be the 'next billion users' era again.",ai giants anthropic openai and perplexity are rushing into india it could be the next billion users era again,neutral
"After the H-1B visa fee hike, global teams are looking like the future of work",after the hb visa fee hike global teams are looking like the future of work,positive
"Mahindra, P&G, & Amazon lead hiring in IIM Ahmedabad’s second Summer placement cluster",mahindra pg  amazon lead hiring in iim ahmedabads second summer placement cluster,neutral
Samsung aims to hire more chip talent in India to prepare for the AI era,samsung aims to hire more chip talent in india to prepare for the ai era,positive
"Not the Fix—The Tell: The Meaning of a $100,000 H-1B Fee",not the fixthe tell the meaning of a  hb fee,neutral
These 25 Universities Will Take A Big Hit From Trump’s H-1B Visa Attack,these  universities will take a big hit from trumps hb visa attack,negative
Crude Prices Jump on Possible US-India Trade Deal and Lower EIA Inventories,crude prices jump on possible usindia trade deal and lower eia inventories,neutral
Walmart halts job offers for H-1B visa candidates,walmart halts job offers for hb visa candidates,neutral
"Andreessen Horowitz denies report of India office, calls it ‘fake news’",andreessen horowitz denies report of india office calls it fake news,negative
Knowledge Nugget: Police Commemoration Day — What you must know for the UPSC exam,knowledge nugget police commemoration day  what you must know for the upsc exam,neutral
The Myth of Mad King George,the myth of mad king george,neutral
Eli Lilly to Invest Over $1 Billion in India to Expand Manufacturing Network,eli lilly to invest over  billion in india to expand manufacturing network,neutral
Links 10/14/2025,links,neutral
Canada intensifies crackdown on undocumented Indian workers,canada intensifies crackdown on undocumented indian workers,negative
Samsung ramps up semiconductor talent hiring in India amid global AI design push,samsung ramps up semiconductor talent hiring in india amid global ai design push,positive
Eli Lilly's $1 Billion India Gamble Signals Pharma's Next Global Power Shift,eli lillys  billion india gamble signals pharmas next global power shift,neutral
Bybit Snags UAE’s Virtual Asset Platform Operator License,bybit snags uaes virtual asset platform operator license,neutral
Trump's immigration crackdown threatens America's job market and ability to recruit foreign talent,trumps immigration crackdown threatens americas job market and ability to recruit foreign talent,negative
Chancellor heads for Gulf in bid to boost trade and investment,chancellor heads for gulf in bid to boost trade and investment,neutral
5 Themes We Will Discuss at Skift Global Forum East 2025,themes we will discuss at skift global forum east,neutral
Trump aide Dan Scavino named head of White House personnel,trump aide dan scavino named head of white house personnel,neutral
"Target layoffs hit almost all corners of the business, from merchants to engineers",target layoffs hit almost all corners of the business from merchants to engineers,negative
Nigeria refinery aims to be world's biggest with expansion,nigeria refinery aims to be worlds biggest with expansion,positive
Why Healthcare Leaders Are Worried About The New H-1B Visa Fee,why healthcare leaders are worried about the new hb visa fee,neutral
Trump’s H-1B visa crackdown forces Walmart to freeze foreign hiring,trumps hb visa crackdown forces walmart to freeze foreign hiring,negative
Viral TikTok shows panic aboard plane after Trump announces $100K H1-B visa fee — how it could end up costing the US,viral tiktok shows panic aboard plane after trump announces k hb visa fee  how it could end up costing the us,negative
Nigeria refinery aims to be world's biggest with expansion,nigeria refinery aims to be worlds biggest with expansion,positive
Octoverse: A new developer joins GitHub every second as AI leads TypeScript to #1,octoverse a new developer joins github every second as ai leads typescript to,neutral
Meet The Indian Heiress Taking On Ikea. Plus: Why You Need To “Kill” Your Company,meet the indian heiress taking on ikea plus why you need to kill your company,negative
AAUP Joins Coalition Filing Lawsuit Against Trump’s New H-1B Visa Fee,aaup joins coalition filing lawsuit against trumps new hb visa fee,neutral
