headline,Sentiment,Sentiment_Score
"AI giants Anthropic, OpenAI, and Perplexity are rushing into India. It could be the 'next billion users' era again.",Neutral,0
"After the H-1B visa fee hike, global teams are looking like the future of work",Positive,1
"Mahindra, P&G, & Amazon lead hiring in IIM Ahmedabad’s second Summer placement cluster",Neutral,0
Samsung aims to hire more chip talent in India to prepare for the AI era,Positive,1
"Not the Fix—The Tell: The Meaning of a $100,000 H-1B Fee",Neutral,0
These 25 Universities Will Take A Big Hit From Trump’s H-1B Visa Attack,Negative,-1
Crude Prices Jump on Possible US-India Trade Deal and Lower EIA Inventories,Neutral,0
Walmart halts job offers for H-1B visa candidates,Neutral,0
"Andreessen Horowitz denies report of India office, calls it ‘fake news’",Negative,-1
Knowledge Nugget: Police Commemoration Day — What you must know for the UPSC exam,Neutral,0
The Myth of Mad King George,Neutral,0
Eli Lilly to Invest Over $1 Billion in India to Expand Manufacturing Network,Neutral,0
Links 10/14/2025,Neutral,0
Canada intensifies crackdown on undocumented Indian workers,Negative,-1
Samsung ramps up semiconductor talent hiring in India amid global AI design push,Positive,1
Eli Lilly's $1 Billion India Gamble Signals Pharma's Next Global Power Shift,Neutral,0
Bybit Snags UAE’s Virtual Asset Platform Operator License,Neutral,0
Trump's immigration crackdown threatens America's job market and ability to recruit foreign talent,Negative,-1
Chancellor heads for Gulf in bid to boost trade and investment,Neutral,0
5 Themes We Will Discuss at Skift Global Forum East 2025,Neutral,0
Trump aide Dan Scavino named head of White House personnel,Neutral,0
"Target layoffs hit almost all corners of the business, from merchants to engineers",Negative,-1
Nigeria refinery aims to be world's biggest with expansion,Positive,1
Why Healthcare Leaders Are Worried About The New H-1B Visa Fee,Neutral,0
Trump’s H-1B visa crackdown forces Walmart to freeze foreign hiring,Negative,-1
Viral TikTok shows panic aboard plane after Trump announces $100K H1-B visa fee — how it could end up costing the US,Negative,-1
Nigeria refinery aims to be world's biggest with expansion,Positive,1
Octoverse: A new developer joins GitHub every second as AI leads TypeScript to #1,Neutral,0
Meet The Indian Heiress Taking On Ikea. Plus: Why You Need To “Kill” Your Company,Negative,-1
AAUP Joins Coalition Filing Lawsuit Against Trump’s New H-1B Visa Fee,Neutral,0
