headline,clean_text,sentiment
India Draft Plan Reveals $21 Trillion Net-Zero Investment Need,india draft plan reveals  trillion netzero investment need,neutral
Climate change intensified India's heatwaves in 2024 - Lancet study,climate change intensified indias heatwaves in   lancet study,neutral
India wants to lure its best minds back from the US - but it won't be easy,india wants to lure its best minds back from the us  but it wont be easy,neutral
Inside India’s Energy Transition: Tata Power’s Net Zero Strategy,inside indias energy transition tata powers net zero strategy,neutral
Protests and food poisonings test Indonesian president's first year in office,protests and food poisonings test indonesian presidents first year in office,negative
"Global efforts not enough to curb temperature rise, UN says ahead of climate summit",global efforts not enough to curb temperature rise un says ahead of climate summit,neutral
Exclusive: Climate scientists expect attempts to dim the sun by 2100,exclusive climate scientists expect attempts to dim the sun by,neutral
How the autumn climbing season turned deadly in the Himalayas,how the autumn climbing season turned deadly in the himalayas,negative
India’s climate policy must not leave farmers behind,indias climate policy must not leave farmers behind,neutral
Climate study finds overheating world will add 57 superhot days a year,climate study finds overheating world will add  superhot days a year,neutral
Climate justice lets super-rich in developing world off the hook: Prize-winning historian Sunil Amrith,climate justice lets superrich in developing world off the hook prizewinning historian sunil amrith,neutral
"UPSC Key: PM opens Navi Mumbai airport, Climate models, and Ember report",upsc key pm opens navi mumbai airport climate models and ember report,neutral
"Six months in 'climate hell': Relentless heat causes routine fainting episodes in textile factories, investigation shows",six months in climate hell relentless heat causes routine fainting episodes in textile factories investigation shows,negative
All-Natural Geoengineering with Frank Herbert's Dune,allnatural geoengineering with frank herberts dune,neutral
Long-term data-driven evidence reveals escalating rainfall extremes across urbanizing Himalayan foothills,longterm datadriven evidence reveals escalating rainfall extremes across urbanizing himalayan foothills,neutral
"Landslide hits bus in northern India, killing 15, as rescue continues",landslide hits bus in northern india killing  as rescue continues,negative
Why India's monsoon is becoming more extreme—even though overall rainfall has hardly increased,why indias monsoon is becoming more extremeeven though overall rainfall has hardly increased,negative
"UPSC Key: Chhath Puja, Cloud seeding, and 8th Pay Commission",upsc key chhath puja cloud seeding and th pay commission,neutral
What has Climate Week NYC taught us in the lead up to COP30?,what has climate week nyc taught us in the lead up to cop,neutral
Knowledge Nugget: 10 key takeaways from IUCN World Conservation Congress 2025 for UPSC,knowledge nugget  key takeaways from iucn world conservation congress  for upsc,neutral
US and China provoke sharp fall in global outlook for renewable power,us and china provoke sharp fall in global outlook for renewable power,neutral
"More than 350 trekkers escape blizzard-hit Everest, hundreds still stranded",more than  trekkers escape blizzardhit everest hundreds still stranded,neutral
Links 11/2/2025,links,neutral
US threats cast doubt on shipping emissions deal,us threats cast doubt on shipping emissions deal,negative
India can grow by 7.5-8% with greater investment in renewable energy: Nicholas Stern,india can grow by  with greater investment in renewable energy nicholas stern,positive
Why Nigeria Accepted GMOs,why nigeria accepted gmos,negative
"Shapeshifting 'braided river' in Tibet is the highest in the world, and is becoming increasingly unstable — Earth from space",shapeshifting braided river in tibet is the highest in the world and is becoming increasingly unstable  earth from space,negative
How to fight climate change without the US: a guide to global action,how to fight climate change without the us a guide to global action,neutral
"In One Of Her Final Appearances, Jane Goodall Encourages Attorneys To Protect The Environment",in one of her final appearances jane goodall encourages attorneys to protect the environment,neutral
Daily briefing: Nobel Prize for discovery of ‘brake’ on immune system,daily briefing nobel prize for discovery of brake on immune system,neutral
